TAGNAME,TIME,SUNANGLE,VALUE,Latitude,Longitude,Temp 2m,Dewpoint 2m,Pressure,Precipitation,GHI,DHI,BNI,Location,Date,Time,Date.1,Timestamp,Year,hours
Optic Main,28-06-2023 21:15,0.732776898,1,59.854,-1.276,10.99619092,9.457521594,101628.6772,4.2354E-05,0.343381667,0.343381667,0,Sumburgh_Head,28-06-2023 00:00,21:15:15,28-06-2023,00:00:00,2023,21.25416667
ML1 Status,28-06-2023 21:03,-2.63862075,1,50.535,-5.034,14.96472386,13.59944869,101108.5087,1.64905E-07,0,0,0,Trevose,28-06-2023 00:00,21:03:58,28-06-2023,00:00:00,2023,21.06611111
Main Optic,28-06-2023 21:00,1.737860632,1,58.672,-3.377,11.33970555,9.626340649,101402.079,2.80663E-05,0.274095111,0.274095111,0,Dunnet_Head,28-06-2023 00:00,21:00:04,28-06-2023,00:00:00,2023,21.00111111
Optic Main,28-06-2023 20:59,1.94037414,1,59.39,-2.382,11.1295467,9.695751587,101782.6321,2.97316E-05,0.004246917,0.004246917,0,North_Ronaldsay,28-06-2023 00:00,20:59:27,28-06-2023,00:00:00,2023,20.99083333
ML1 Status,28-06-2023 20:51,-1.830855045,1,49.961,-5.203,15.51782561,14.17899122,101361.2642,0,0,0,0,Lizard,28-06-2023 00:00,20:51:46,28-06-2023,00:00:00,2023,20.86277778
ML1 Status,28-06-2023 20:47,-1.283254767,1,49.935,-5.801,15.08691243,13.89677561,101569.2217,0,0,0,0,WolfRock,28-06-2023 00:00,20:47:25,28-06-2023,00:00:00,2023,20.79027778
ML1 Status,28-06-2023 20:44,-0.806541074,1,49.868,-6.435,15.02113788,13.78697931,101707.3759,3.67935E-06,0,0,0,BishopRock,28-06-2023 00:00,20:44:12,28-06-2023,00:00:00,2023,20.73666667
ML1 Status,28-06-2023 20:35,-0.188967349,1,51.2,-4.202,15.0999914,13.52433989,101180.5765,1.33886E-05,0,0,0,BullPointPost,28-06-2023 00:00,20:35:49,28-06-2023,00:00:00,2023,20.59694444
Main Status,28-06-2023 20:10,2.725089024,1,50.235,-5.401,15.6345226,13.90192893,101235.1156,1.25253E-06,2.384583333,2.384583333,0,Godrevy,28-06-2023 00:00,20:10:00,28-06-2023,00:00:00,2023,20.16666667
ML1 Status,28-06-2023 18:31,15.97485453,1,50.184,-4.268,16.51836158,13.98621503,101178.0473,1.21109E-05,28.15110942,22.982835,34.36366442,Eddystone,28-06-2023 00:00,18:31:33,28-06-2023,00:00:00,2023,18.52583333
ML1 Status,28-06-2023 18:04,20.18813697,0,50.184,-4.268,16.46638313,13.48916573,101187.0429,2.94957E-05,137.8163587,103.7636399,122.7167231,Eddystone,28-06-2023 00:00,18:04:14,28-06-2023,00:00:00,2023,18.07055556
ML1 Status,28-06-2023 17:09,28.79103002,1,50.184,-4.268,16.43201977,13.11761979,101159.7909,2.78019E-05,279.9985075,124.4527251,358.9605567,Eddystone,28-06-2023 00:00,17:09:53,28-06-2023,00:00:00,2023,17.16472222
ML1 Status,28-06-2023 17:01,30.11267163,0,50.184,-4.268,16.42671736,13.06172719,101154.9695,2.72993E-05,302.4335933,127.1376282,397.2994691,Eddystone,28-06-2023 00:00,17:01:37,28-06-2023,00:00:00,2023,17.02694444
ML1 Status,28-06-2023 15:15,46.70683819,1,50.184,-4.268,16.30828342,12.88131835,101200.0476,3.25424E-05,606.228233,122.0954717,715.4835835,Eddystone,28-06-2023 00:00,15:15:39,28-06-2023,00:00:00,2023,15.26083333
ML1 Status,28-06-2023 15:07,47.92470532,0,50.184,-4.268,16.29626464,12.88063495,101204.7339,2.88952E-05,632.4763877,117.8709294,745.5280395,Eddystone,28-06-2023 00:00,15:07:23,28-06-2023,00:00:00,2023,15.12305556
ML1 Status,28-06-2023 13:23,61.30488198,0,49.868,-6.435,15.29980149,14.06905333,101538.4789,0.000128782,585.8905552,270.867582,383.8980151,BishopRock,28-06-2023 00:00,13:23:56,28-06-2023,00:00:00,2023,13.39888889
ML1 Status,28-06-2023 12:43,63.2312617,1,49.868,-6.435,15.31323363,14.07124491,101552.4624,8.59898E-05,681.0805974,204.5323075,586.4825206,BishopRock,28-06-2023 00:00,12:43:55,28-06-2023,00:00:00,2023,12.73194444
ML1 Status,28-06-2023 09:43,48.33439373,0,49.868,-6.435,15.13731712,14.03423237,101422.2766,0.000478266,306.2714283,295.5657893,12.09611389,BishopRock,28-06-2023 00:00,09:43:55,28-06-2023,00:00:00,2023,9.731944444
ML1 Status,28-06-2023 06:46,21.40745893,0,50.535,-5.034,14.63768505,14.04026993,100826.3695,0.000403041,300.180114,231.43653,108.049188,Trevose,28-06-2023 00:00,06:46:48,28-06-2023,00:00:00,2023,6.78
Main Status,28-06-2023 06:42,20.37089235,0,50.235,-5.401,14.8155772,14.29527867,100961.8838,0.000844714,186.13293,170.79243,23.22369,Godrevy,28-06-2023 00:00,06:42:00,28-06-2023,00:00:00,2023,6.7
Main Optic,28-06-2023 05:38,15.04915558,0,58.672,-3.377,11.49905848,9.123714092,101361.7468,2.4288E-05,106.7453238,106.7453238,0,Dunnet_Head,28-06-2023 00:00,05:38:51,28-06-2023,00:00:00,2023,5.6475
ML1 Status,28-06-2023 05:20,9.22901393,0,51.2,-4.202,14.38442342,12.63791899,100918.6051,0.002457579,25.51815311,25.51815311,0,BullPointPost,28-06-2023 00:00,05:20:04,28-06-2023,00:00:00,2023,5.334444444
ML1 Status,28-06-2023 05:16,7.60856521,0,49.961,-5.203,15.08798299,14.24379272,101041.3819,0.001737226,22.17794389,22.17794389,0,Lizard,28-06-2023 00:00,05:16:28,28-06-2023,00:00:00,2023,5.274444444
ML1 Status,28-06-2023 05:14,7.039966903,0,49.935,-5.801,15.15800272,14.13431283,101202.2469,0.001795891,18.21832333,18.21832333,0,WolfRock,28-06-2023 00:00,05:14:52,28-06-2023,00:00:00,2023,5.247777778
Light,28-06-2023 03:59,3.949281118,0,59.086,-4.407,10.52688458,7.675857646,101769.872,6.37546E-06,19.91464839,19.91464839,0,Sule_Skerry,28-06-2023 00:00,03:59:19,28-06-2023,00:00:00,2023,3.988611111
Optic Main,28-06-2023 03:33,3.236294319,0,59.854,-1.276,9.643086947,7.332919922,101635.4371,4.21909E-06,24.98368758,24.98368758,0,Sumburgh_Head,28-06-2023 00:00,03:33:13,28-06-2023,00:00:00,2023,3.553611111
Optic Main,28-06-2023 03:24,1.815696294,0,59.39,-2.382,10.32920163,7.757413817,101744.183,3.1074E-06,12.39154414,12.39154414,0,North_Ronaldsay,28-06-2023 00:00,03:24:19,28-06-2023,00:00:00,2023,3.405277778
Light,28-06-2023 03:22,1.130718073,0,58.85,-3.014,10.61297272,9.183202641,101611.6907,3.0313E-05,13.01049458,13.00950125,0.014279167,Flotta_Grinds_Buoy,28-06-2023 00:00,03:22:45,28-06-2023,00:00:00,2023,3.379166667
Main Optic,28-06-2023 03:20,2.977768671,0,60.741,-0.795,9.568511027,7.618635659,101578.8123,5.67504E-06,20.90797375,20.90797375,0,Balta_Sound,28-06-2023 00:00,03:20:57,28-06-2023,00:00:00,2023,3.349166667
Main optic,28-06-2023 02:32,-0.841524075,0,59.998,-1.159,9.575769297,7.34012159,101600.077,4.92717E-06,22.97268294,22.8990165,1.04512,Mousa,28-06-2023 00:00,02:32:47,28-06-2023,00:00:00,2023,2.546388889
Light,28-06-2023 02:22,-2.711268563,0,59.122,-5.816,10.5763717,7.743261518,101815.666,2.44279E-06,1.700418222,1.700418222,0,North_Rona,28-06-2023 00:00,02:22:43,28-06-2023,00:00:00,2023,2.378611111
Main optic,27-06-2023 22:28,-2.805104477,1,59.998,-1.159,10.62889618,8.830503752,101707.4541,2.8474E-06,0,0,0,Mousa,27-06-2023 00:00,22:28:32,27-06-2023,00:00:00,2023,22.47555556
Light,27-06-2023 22:22,-2.326167984,1,59.122,-5.816,10.4118132,7.658956981,101898.3972,7.84409E-06,0,0,0,North_Rona,27-06-2023 00:00,22:22:44,27-06-2023,00:00:00,2023,22.37888889
Light,27-06-2023 21:59,-1.546867946,1,59.086,-4.407,10.81601822,8.270142866,101940.6267,1.73275E-06,0,0,0,Sule_Skerry,27-06-2023 00:00,21:59:19,27-06-2023,00:00:00,2023,21.98861111
